MATRICE DE COMPARAISON,Precision AVG (%) 81.6239316239,Recall AVG (%)63.7545787546,FMesure AVG (%): 63.3312983313,FMesure ecart-type : 29.6795386492
(PRECISION/RAPPEL/FMESURE),Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34,Cluster 35,Cluster 36,Cluster 37,Cluster 38,Cluster 39,Cluster 40,Cluster 41,Cluster 42,Cluster 43,Cluster 44,Cluster 45,Cluster 46,Cluster 47,Cluster 48,Cluster 49,Cluster 50,Cluster 51,Cluster 52,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 57,Cluster 58,Cluster 59,Cluster 60,Cluster 61,Cluster 62,Cluster 63,Cluster 64,Cluster 65,Cluster 66,Cluster 67,Cluster 68,Cluster 69,Cluster 70,Cluster 71,Cluster 72,Cluster 73,Cluster 74,Cluster 75,Cluster 76
Reference clusters 19,Cluster 61,"(1.0, 0.6666666666666666, 0.7999999999999953)"
Reference cluster 19,solaire,uv,protection
Cluster 61,solaire,uv
_____________________,_____________________,_____________________,_____________________
Reference clusters 20,Cluster 30,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 20,hiver
Cluster 30,hiver
_____________________,_____________________
Reference clusters 21,Cluster 41,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 21,dommage
Cluster 41,dommage
_____________________,_____________________
Reference clusters 22,Cluster 6,"(1.0, 0.5, 0.6666666666666622)"
Reference cluster 22,visage,masque
Cluster 6,masque
_____________________,_____________________,_____________________
Reference clusters 23,Cluster 73,"(0.3333333333333333, 1.0, 0.4999999999999963)"
Reference cluster 23,adore
Cluster 73,adore,matifie,pénétration
_____________________,_____________________,_____________________,_____________________
Reference clusters 24,Cluster 26,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 24,zone
Cluster 26,zone
_____________________,_____________________
Reference clusters 25,Cluster 75,"(0.5, 1.0, 0.6666666666666622)"
Reference cluster 25,rachèterai,recommande
Cluster 75,rachèterai,hydratant,recommande,déçue
_____________________,_____________________,_____________________,_____________________,_____________________
Reference clusters 26,Cluster 56,"(0.5, 1.0, 0.6666666666666622)"
Reference cluster 26,long
Cluster 56,efficacité,long
_____________________,_____________________,_____________________
Reference clusters 27,Cluster 63,"(0.5, 1.0, 0.6666666666666622)"
Reference cluster 27,parfaite
Cluster 63,parfaite,claire
_____________________,_____________________,_____________________
Reference clusters 28,Cluster 51,"(1.0, 0.3333333333333333, 0.4999999999999963)"
Reference cluster 28,imperfections,ridules,rides
Cluster 51,imperfections
_____________________,_____________________,_____________________,_____________________
Reference clusters 29,Cluster 25,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 29,donné
Cluster 25,donné
_____________________,_____________________
Reference clusters 30,Cluster 42,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 30,joli
Cluster 42,joli
_____________________,_____________________
Reference clusters 31,Cluster 16,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 31,matin
Cluster 16,matin
_____________________,_____________________
Reference clusters 32,Cluster 76,"(0.25, 0.5, 0.3333333333333289)"
Reference cluster 32,pénètre,pénétration
Cluster 76,agréable,pénètre,hydrate,grasse
_____________________,_____________________,_____________________,_____________________,_____________________
Reference clusters 33,Cluster 72,"(0.0, 0.0, 0.0)"
Reference cluster 33,déçue
Cluster 72,pratique,présentation,protection
_____________________,_____________________,_____________________,_____________________
Reference clusters 34,Cluster 58,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 34,gras,film
Cluster 58,gras,film
_____________________,_____________________,_____________________
Reference clusters 35,Cluster 71,"(0.0, 0.0, 0.0)"
Reference cluster 35,claire
Cluster 71,cher,pot,tube
_____________________,_____________________,_____________________,_____________________
Reference clusters 36,Cluster 49,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 36,nuit
Cluster 49,nuit
_____________________,_____________________
Reference clusters 37,Cluster 69,"(0.3333333333333333, 1.0, 0.4999999999999963)"
Reference cluster 37,fluide
Cluster 69,légère,fluide,facile
_____________________,_____________________,_____________________,_____________________
Reference clusters 38,Cluster 43,"(1.0, 1.0, 0.9999999999999949)"
Reference cluster 38,viens
Cluster 43,viens
_____________________,_____________________
""
CLUSTER DE REFERENCE
Reference cluster 0,mixtes,naturelle,sèche,sensible,peaux,peau,mixte,convient,grasse,grasses
Reference cluster 1,cher,chère,rapport,acheté,prix
Reference cluster 2,temps,tient,journée,dure,jours,jour
Reference cluster 3,pot,flacon,pompe,présentation,bouchon,tube,emballage
Reference cluster 4,efficacité,parfait,résultat,satisfaite,qualité,efficace
Reference cluster 5,maquillage,maquiller
Reference cluster 6,produit,creme
Reference cluster 7,poudre
Reference cluster 8,texture,légère
Reference cluster 9,hydratante,hydratée,hydratation,hydrate,douce,hydratant,sensation
Reference cluster 10,couleur,teinte,belle,gamme
Reference cluster 11,pratique,utilisation,facile,application
Reference cluster 12,impression
Reference cluster 13,brillance,naturel,mine,effet,briller,lisse,matifie,teintée,brille,teint,unifie,éclat
Reference cluster 14,couvrant,couvrance,couvre
Reference cluster 15,crème
Reference cluster 16,boutons,camoufle,colle,rougeurs,pique,taches,pores
Reference cluster 17,soin
Reference cluster 18,odeur,agréable,sent,parfum
Reference cluster 19,solaire,uv,protection
Reference cluster 20,hiver
Reference cluster 21,dommage
Reference cluster 22,visage,masque
Reference cluster 23,adore
Reference cluster 24,zone
Reference cluster 25,rachèterai,recommande
Reference cluster 26,long
Reference cluster 27,parfaite
Reference cluster 28,imperfections,ridules,rides
Reference cluster 29,donné
Reference cluster 30,joli
Reference cluster 31,matin
Reference cluster 32,pénètre,pénétration
Reference cluster 33,déçue
Reference cluster 34,gras,film
Reference cluster 35,claire
Reference cluster 36,nuit
Reference cluster 37,fluide
Reference cluster 38,viens
""
CLUSTER PRÉDITS
Cluster 0,satisfaite
Cluster 1,rides
Cluster 2,jour
Cluster 3,impression
Cluster 4,visage
Cluster 5,résultat
Cluster 6,masque
Cluster 7,sensation
Cluster 8,couvrance
Cluster 9,colle
Cluster 10,gamme
Cluster 11,maquiller
Cluster 12,temps
Cluster 13,boutons
Cluster 14,acheté
Cluster 15,utilisation
Cluster 16,matin
Cluster 17,maquillage
Cluster 18,pores
Cluster 19,peaux
Cluster 20,éclat
Cluster 21,dure
Cluster 22,tient
Cluster 23,chère
Cluster 24,teintée
Cluster 25,donné
Cluster 26,zone
Cluster 27,soin
Cluster 28,couvrant
Cluster 29,camoufle
Cluster 30,hiver
Cluster 31,rougeurs
Cluster 32,mixte
Cluster 33,bouchon
Cluster 34,emballage
Cluster 35,jours
Cluster 36,poudre
Cluster 37,brillance
Cluster 38,convient
Cluster 39,mine
Cluster 40,creme
Cluster 41,dommage
Cluster 42,joli
Cluster 43,viens
Cluster 44,naturel
Cluster 45,journée
Cluster 46,ridules
Cluster 47,pique
Cluster 48,naturelle
Cluster 49,nuit
Cluster 50,taches
Cluster 51,imperfections
Cluster 52,hydratée,belle
Cluster 53,couleur,teinte
Cluster 54,effet,teint
Cluster 55,parfait,efficace
Cluster 56,efficacité,long
Cluster 57,couvre,unifie
Cluster 58,gras,film
Cluster 59,mixtes,grasses
Cluster 60,crème,peau
Cluster 61,solaire,uv
Cluster 62,flacon,pompe
Cluster 63,parfaite,claire
Cluster 64,rapport,qualité
Cluster 65,sent,parfum
Cluster 66,briller,brille
Cluster 67,lisse,douce
Cluster 68,sèche,sensible
Cluster 69,légère,fluide,facile
Cluster 70,hydratante,hydratation,application
Cluster 71,cher,pot,tube
Cluster 72,pratique,présentation,protection
Cluster 73,adore,matifie,pénétration
Cluster 74,produit,prix,texture,odeur
Cluster 75,rachèterai,hydratant,recommande,déçue
Cluster 76,agréable,pénètre,hydrate,grasse
